# t (s)	mx ()	my ()	mz ()	ext_topologicalcharge ()	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
9.000165149932323e-10	0.014272137	-0.009296538	0.49663678	-0.26819116	9.57286e-17	-2.5729122e-17	1.4583449e-17	1.0708011e-16	-2.0584064e-19	0
9.100133160534853e-10	0.01791481	0.0028894697	0.49147484	-0.6153387	1.0361828e-16	-2.5786302e-17	1.46174e-17	1.0769156e-16	7.095644e-18	0
9.200121364249622e-10	0.018131016	0.010244201	0.4901961	-0.40165937	9.4786904e-17	-2.595212e-17	1.4705612e-17	1.081652e-16	-2.1317908e-18	0
9.300097460663971e-10	0.017708426	0.011206551	0.48693427	-0.5916407	9.897133e-17	-2.602324e-17	1.474176e-17	1.0744144e-16	2.8113813e-18	0
9.400170114446858e-10	0.008310311	0.010393254	0.48068413	-0.4757296	9.810524e-17	-2.5963214e-17	1.4714294e-17	1.07094445e-16	2.259743e-18	0
9.500150237905938e-10	-0.00291489	0.007881752	0.4771925	-0.53599876	9.7190605e-17	-2.5919134e-17	1.4685839e-17	1.07267266e-16	1.1566213e-18	0
9.600100472369821e-10	-0.008612638	0.008431051	0.47366613	-0.622834	9.971446e-17	-2.5932878e-17	1.4690453e-17	1.07725134e-16	3.2317578e-18	0
9.700078340224251e-10	-0.0003457234	0.009276901	0.46828583	-0.5179104	1.03694826e-16	-2.5836244e-17	1.4635887e-17	1.0704286e-16	7.8523155e-18	0
9.800131389170284e-10	0.005116678	-0.0031935547	0.4634116	-0.5761032	1.0340247e-16	-2.5774868e-17	1.4603455e-17	1.07612055e-16	6.961823e-18	0
9.90006141834135e-10	0.0020983925	-0.0005977629	0.460548	-0.94890165	8.983152e-17	-2.5785762e-17	1.4609446e-17	1.0691888e-16	-5.9110554e-18	0
1.0000010189218272e-09	0.0007720423	-0.00033749378	0.45356742	-0.7900578	1.0033609e-16	-2.5642086e-17	1.4534482e-17	1.06812105e-16	4.631587e-18	0
1.010010526343145e-09	0.0057727764	-0.005010689	0.45138308	-0.60328174	1.0846514e-16	-2.5677868e-17	1.4554327e-17	1.07372484e-16	1.2216196e-17	0
1.0200104856115742e-09	0.01126552	-0.009585684	0.44818678	-0.22374144	1.0108351e-16	-2.5689924e-17	1.4557601e-17	1.0703356e-16	5.1822725e-18	0
1.030011824680459e-09	0.013293494	-0.013949709	0.44718128	-0.6585881	9.115525e-17	-2.5681018e-17	1.4555151e-17	1.0769204e-16	-5.4109275e-18	0
1.0400029304341937e-09	0.013356451	-0.011300851	0.446608	-0.6647201	9.06487e-17	-2.5730371e-17	1.457662e-17	1.0736137e-16	-5.5589213e-18	0
1.0500178441646633e-09	0.009081284	-0.00041912982	0.4429805	-0.5887864	9.5510045e-17	-2.5667348e-17	1.4539608e-17	1.0728376e-16	-6.459722e-19	0
1.0600103197853362e-09	0.013896409	0.010117269	0.44128272	-0.61475366	9.500402e-17	-2.5677797e-17	1.4546661e-17	1.07240704e-16	-1.1055444e-18	0
1.070009508700575e-09	0.006774884	0.015787205	0.43855342	-0.87059337	9.2443866e-17	-2.5742038e-17	1.4581024e-17	1.07277126e-16	-3.6722427e-18	0
1.0800148908123316e-09	0.0009067365	0.014293348	0.43442276	-0.72581506	8.979986e-17	-2.57698e-17	1.4596882e-17	1.0724573e-16	-6.272955e-18	0
1.0900097428110448e-09	0.0034860033	0.015108294	0.42866465	-0.4903917	9.9916595e-17	-2.566515e-17	1.4539632e-17	1.0737131e-16	3.670804e-18	0
1.1000073178988724e-09	0.0007828693	0.0040347194	0.42668387	-0.61075616	9.668805e-17	-2.5699324e-17	1.4556246e-17	1.0733535e-16	4.957821e-19	0
1.1100055174962296e-09	-0.0061889277	-0.002324508	0.42056313	-0.44422975	8.93034e-17	-2.5591464e-17	1.4496221e-17	1.06704936e-16	-6.3062964e-18	0
1.1200118604780012e-09	-0.0049112528	-0.0027703715	0.4146226	-0.62241906	9.6845194e-17	-2.5478536e-17	1.4439629e-17	1.071997e-16	6.843968e-19	0
1.1300002059499996e-09	-0.005791267	0.0050318334	0.40934947	-0.53945005	9.6638115e-17	-2.540335e-17	1.439507e-17	1.0688805e-16	7.5835743e-19	0
1.1400059510969865e-09	0.0021840923	-0.001239379	0.40640885	-0.5407169	8.881842e-17	-2.5448885e-17	1.4421527e-17	1.06724e-16	-6.8782243e-18	0
1.1500067787052876e-09	0.0061266306	-0.00245176	0.40183586	-0.6385428	9.9447154e-17	-2.5453367e-17	1.4423775e-17	1.074257e-16	3.0510365e-18	0
1.1600146110565318e-09	0.0021325	-0.0012505437	0.39699903	-0.6520718	9.966945e-17	-2.552586e-17	1.4461982e-17	1.0630293e-16	4.4303943e-18	0
1.1700091743909948e-09	0.00039282202	-0.007829195	0.39352888	-0.80516887	1.0076407e-16	-2.554538e-17	1.4474852e-17	1.0725326e-16	4.581339e-18	0
1.180007065502586e-09	-0.0027696497	-0.0048156446	0.39359665	-0.62209624	1.022503e-16	-2.562976e-17	1.4520342e-17	1.0760212e-16	5.7575886e-18	0
1.1900180899798745e-09	-6.091767e-05	-0.0062582474	0.39099455	-0.39341402	9.825867e-17	-2.5641338e-17	1.4526193e-17	1.0739254e-16	1.9812725e-18	0
1.2000023667891289e-09	0.009183261	-0.0031488065	0.3878966	-0.3680302	9.521417e-17	-2.5646847e-17	1.4524686e-17	1.0740248e-16	-1.0661413e-18	0
1.2100127540893319e-09	0.010715958	-0.005359646	0.3873901	-0.634814	1.047048e-16	-2.5535974e-17	1.4462992e-17	1.0730636e-16	8.471414e-18	0
1.220005369987269e-09	0.010148077	0.00020533353	0.38282514	-0.6580683	1.0157415e-16	-2.558305e-17	1.4487812e-17	1.0627085e-16	6.3985295e-18	0
1.2300131039780312e-09	0.0028045333	0.0041131233	0.37722823	-0.64033085	9.277462e-17	-2.540532e-17	1.4391455e-17	1.0675009e-16	-2.9616048e-18	0
1.2400099220438704e-09	0.0051762657	0.003144731	0.3720069	-0.6439954	9.3957533e-17	-2.5329428e-17	1.4353076e-17	1.07163154e-16	-2.2292522e-18	0
1.2500118936302582e-09	0.008854935	0.0024932157	0.3673088	-0.69790643	9.003332e-17	-2.5351969e-17	1.4366202e-17	1.07545464e-16	-6.526389e-18	0
1.2600132484998917e-09	0.007977732	0.004670211	0.36424807	-0.5087989	9.3146876e-17	-2.539978e-17	1.4390656e-17	1.0674941e-16	-2.5934248e-18	0
1.27000001559199e-09	0.005342206	0.008210319	0.3592816	-0.59671754	1.02957404e-16	-2.549875e-17	1.4440395e-17	1.06734595e-16	7.281176e-18	0
1.2800026561674391e-09	0.0005719588	0.008280871	0.3538911	-0.55857486	8.6698315e-17	-2.5498182e-17	1.4444266e-17	1.070867e-16	-9.334467e-18	0
1.2900030260308989e-09	0.000528981	0.011416506	0.349321	-0.3923421	9.0119276e-17	-2.5496228e-17	1.4446948e-17	1.0688011e-16	-5.7115535e-18	0
1.3000172794090528e-09	-0.0047989003	0.007969536	0.34832698	-0.33755395	1.04733056e-16	-2.5510637e-17	1.444587e-17	1.0683098e-16	8.966843e-18	0
1.3100047846478644e-09	-0.0030760723	0.007881783	0.34766302	-0.5167543	9.7840895e-17	-2.5515843e-17	1.444967e-17	1.07454355e-16	1.4527109e-18	0
1.3200094574048928e-09	-0.001753688	0.0053193625	0.34438875	-0.5904065	9.747504e-17	-2.5543514e-17	1.446481e-17	1.07090806e-16	1.4629432e-18	0
1.3300068295636182e-09	-0.0042250548	0.00057198317	0.34199396	-0.721718	9.351746e-17	-2.5541681e-17	1.4461858e-17	1.0707545e-16	-2.4781825e-18	0
1.3400025563616173e-09	-0.0023861872	0.001028161	0.33781534	-0.56870306	9.738486e-17	-2.544348e-17	1.4408002e-17	1.0734927e-16	1.0710692e-18	0
1.3500051732558085e-09	-0.0008391724	0.0008574922	0.33460224	-0.5829768	9.1583816e-17	-2.5363378e-17	1.4363465e-17	1.0738873e-16	-4.8050033e-18	0
1.3600085637106794e-09	-0.0040019536	-0.0005461882	0.33038107	-0.66484195	1.0447802e-16	-2.5300264e-17	1.4327762e-17	1.07311246e-16	8.139284e-18	0
1.370015476069431e-09	0.0021710065	-6.478565e-05	0.3286237	-0.7391796	9.349728e-17	-2.5293216e-17	1.432191e-17	1.0719977e-16	-2.7311866e-18	0
1.3800098170634111e-09	-0.0023584696	0.0054528923	0.3252007	-0.40664905	1.0165318e-16	-2.526002e-17	1.43076e-17	1.0674069e-16	5.864908e-18	0
1.3900159698324481e-09	-0.0010058207	0.0031492377	0.32040787	-0.47611263	9.7538716e-17	-2.5272512e-17	1.4314365e-17	1.0688578e-16	1.6110858e-18	0
1.4000010229253159e-09	0.00078941317	0.0036371285	0.3147121	-0.5748589	9.3664625e-17	-2.5385427e-17	1.4378575e-17	1.07274784e-16	-2.6033018e-18	0
1.4100033051094493e-09	-0.0040929974	-0.0004965289	0.31194413	-0.5957909	1.0174824e-16	-2.5485832e-17	1.4431804e-17	1.0695629e-16	5.8459828e-18	0
1.4200142132617434e-09	-0.0014308	0.0049322685	0.30998507	-0.7086088	1.00584964e-16	-2.5543435e-17	1.4463093e-17	1.072438e-16	4.4215083e-18	0
1.4300106388745245e-09	-0.00024050577	0.0017924788	0.30917978	-0.4090719	1.0161492e-16	-2.5429633e-17	1.4399856e-17	1.07547303e-16	5.0973942e-18	0
1.4400170072714164e-09	-0.0033068417	0.0042579696	0.3067559	-0.8190262	9.555646e-17	-2.5320655e-17	1.4338969e-17	1.0685273e-16	-3.1458113e-19	0
1.450008447244713e-09	-0.0056029353	0.004206324	0.30270663	-0.27186593	1.0340314e-16	-2.5197812e-17	1.4268723e-17	1.0652159e-16	7.810632e-18	0
1.4600155030619717e-09	-0.0072218287	0.0065228613	0.29902884	-0.5291926	9.7796154e-17	-2.5149297e-17	1.4243421e-17	1.06556923e-16	2.1451093e-18	0
1.4700023847878469e-09	-0.012602787	0.0093499245	0.29430342	-0.67726237	9.715328e-17	-2.508313e-17	1.4206349e-17	1.0668215e-16	1.3479091e-18	0
1.4800125969903167e-09	-0.014308012	0.008357497	0.29116514	-0.6263097	1.06162795e-16	-2.5138882e-17	1.4239539e-17	1.07265017e-16	9.797114e-18	0
1.4900094346408257e-09	-0.015850564	0.0018500278	0.28787747	-0.7900666	9.0858246e-17	-2.5164135e-17	1.425119e-17	1.06624825e-16	-4.853634e-18	0
1.5000041218987372e-09	-0.019377807	0.0024563384	0.2859396	-0.70440847	9.1313374e-17	-2.5225986e-17	1.4282162e-17	1.0645832e-16	-4.2011184e-18	0
1.5100026615828614e-09	-0.016454117	0.002765836	0.2800306	-0.39008945	9.3545895e-17	-2.5277753e-17	1.4309326e-17	1.0658959e-16	-2.0752634e-18	0
1.5200024883386398e-09	-0.009766947	-0.0003163446	0.2781536	-0.6730485	1.0409068e-16	-2.5222206e-17	1.4279354e-17	1.06286654e-16	8.74688e-18	0
1.5300126227400212e-09	-0.0027452828	-0.0016432414	0.2785551	-0.70646566	9.35268e-17	-2.5228605e-17	1.4285143e-17	1.074355e-16	-2.965244e-18	0
1.5400019325241914e-09	-0.0042758025	-0.00015169021	0.27273095	-0.55983144	8.551114e-17	-2.512555e-17	1.4230746e-17	1.06886274e-16	-1.0480332e-17	0
1.5500057429308049e-09	-0.008728523	4.9151447e-05	0.26972148	-0.44649807	1.0548397e-16	-2.5189984e-17	1.4264963e-17	1.0704409e-16	9.364898e-18	0
1.560003582036837e-09	-0.0075253043	-0.0046111457	0.26449126	-0.87612516	8.899571e-17	-2.5122966e-17	1.4225756e-17	1.0670943e-16	-6.816509e-18	0
1.5700057888419303e-09	-0.006419068	-0.006514976	0.2621863	-0.14614886	9.53224e-17	-2.5169521e-17	1.4251708e-17	1.06940073e-16	-6.9984965e-19	0
1.580005638209583e-09	-0.0019142042	-0.0031675051	0.2558129	-0.4597916	9.1874434e-17	-2.513993e-17	1.4236922e-17	1.06454876e-16	-3.6774337e-18	0
