,D,Ms,DMI,Sk
290,320.0,600.0,2.0,0.8870870679874131
291,320.0,650.0,2.0,0.8814513353301016
292,320.0,700.0,2.0,0.872545609442771
293,320.0,750.0,2.0,0.8642688143657031
294,320.0,800.0,2.0,0.8886387297210717
295,320.0,850.0,2.0,0.069662718080595
296,320.0,900.0,2.0,0.9047185075681747
297,320.0,950.0,2.0,0.8607555922981385
298,320.0,1000.0,2.0,0.19956778151358273
299,320.0,1050.0,2.0,0.8358293939100446
300,400.0,600.0,2.0,0.8815563806905616
301,400.0,650.0,2.0,0.8759648796696099
302,400.0,700.0,2.0,0.8625342808080662
303,400.0,750.0,2.0,0.8798365851031844
304,400.0,800.0,2.0,0.8817442859087559
305,400.0,850.0,2.0,0.9078842856033571
306,400.0,900.0,2.0,0.8911532967643039
307,400.0,950.0,2.0,0.8473341346145801
308,400.0,1000.0,2.0,8.874288825162681
309,400.0,1050.0,2.0,2.069432258553282
310,480.0,600.0,2.0,0.8783259315006086
311,480.0,650.0,2.0,0.8728243628948013
312,480.0,700.0,2.0,0.8582788622828968
313,480.0,750.0,2.0,0.85444651836825
314,480.0,800.0,2.0,0.8742205083966195
315,480.0,850.0,2.0,0.893739829635402
316,480.0,900.0,2.0,1.968503515105843
317,480.0,950.0,2.0,0.8434817608560522
318,480.0,1000.0,2.0,10.569515377947281
319,480.0,1050.0,2.0,3.2173288515781433
320,560.0,600.0,2.0,0.8730721650613814
321,560.0,650.0,2.0,0.8676382825176174
322,560.0,700.0,2.0,0.8532146195424254
323,560.0,750.0,2.0,0.8613580784381257
324,560.0,800.0,2.0,0.8680688071632894
325,560.0,850.0,2.0,0.8737365577911044
326,560.0,900.0,2.0,0.10010543043408295
327,560.0,950.0,2.0,-4.79739258025204
328,560.0,1000.0,2.0,10.450016345666967
329,560.0,1050.0,2.0,4.603094296361009
330,640.0,600.0,2.0,0.865557356029043
331,640.0,650.0,2.0,0.8601357559232237
332,640.0,700.0,2.0,0.8458024902623836
333,640.0,750.0,2.0,0.8422858339992
334,640.0,800.0,2.0,0.8114840982510119
335,640.0,850.0,2.0,0.8248879352550506
336,640.0,900.0,2.0,0.14092299359632957
337,640.0,950.0,2.0,1.2706619089085203
338,640.0,1000.0,2.0,12.321013572776161
339,640.0,1050.0,2.0,5.092641509872328
340,720.0,600.0,2.0,0.861381296653141
341,720.0,650.0,2.0,0.856005921348985
342,720.0,700.0,2.0,0.8417723114674905
343,720.0,750.0,2.0,0.8256261096880153
344,720.0,800.0,2.0,0.8086208738080649
345,720.0,850.0,2.0,0.8044100986039613
346,720.0,900.0,2.0,0.1383414579748268
347,720.0,950.0,2.0,0.6808046152221039
348,720.0,1000.0,2.0,16.295049333126475
349,720.0,1050.0,2.0,4.453713229812536
350,800.0,600.0,2.0,0.8563279486793386
351,800.0,650.0,2.0,0.8509941325942494
352,800.0,700.0,2.0,0.8368635829957136
353,800.0,750.0,2.0,0.818685923701501
354,800.0,800.0,2.0,0.7706029792954165
355,800.0,850.0,2.0,0.8197011088307273
356,800.0,900.0,2.0,0.16175785944553522
357,800.0,950.0,2.0,1.5535654898303755
358,800.0,1000.0,2.0,18.322366830196156
359,800.0,1050.0,2.0,7.477244985378308
360,160.0,600.0,3.0,0.864309677108141
361,160.0,650.0,3.0,0.8614917678798039
362,160.0,700.0,3.0,0.12603694597959822
363,160.0,750.0,3.0,0.08058809222942043
364,160.0,800.0,3.0,0.07725999946512285
365,160.0,850.0,3.0,0.09085945938063111
366,160.0,900.0,3.0,0.8899617869432561
367,160.0,950.0,3.0,0.9133064139662386
368,160.0,1000.0,3.0,0.8852575161423131
369,160.0,1050.0,3.0,0.8576514027379905
370,240.0,600.0,3.0,0.8530975593715654
371,240.0,650.0,3.0,0.8486421489133742
372,240.0,700.0,3.0,0.10441991937852538
