# t (s)	mx ()	my ()	mz ()	maxTorque (T)
8.100099999990553e-10	-1.0919935e-09	1.0919935e-09	0.00028261472	0.005728854
8.200099999990377e-10	-1.2133261e-09	-3.6399783e-10	0.0002818008	0.0055051874
8.300099999990201e-10	-6.0666305e-11	-1.0313271e-09	0.00028099224	0.0052906405
8.400099999990025e-10	4.2466414e-10	-1.3346587e-09	0.0002801769	0.0050818
8.500099999989849e-10	-2.0019881e-09	-5.4599675e-10	0.0002793681	0.0048806304
8.600099999989673e-10	-1.0919935e-09	-1.1526597e-09	0.00027861414	0.0046861665
8.700099999989497e-10	-5.217302e-09	-2.4266522e-10	0.00027790724	0.0044955574
8.800099999989321e-10	-4.0646424e-09	-4.2466414e-10	0.00027722755	0.004312867
8.900099999989144e-10	-2.0323212e-09	-9.706609e-10	0.00027654882	0.004136492
9.000099999988968e-10	-1.0919935e-09	2.4266522e-10	0.0002758509	0.0039675874
9.100099999988792e-10	1.5773239e-09	-1.0919935e-09	0.00027526438	0.0038044509
9.200099999988616e-10	-2.4266522e-10	-2.2446534e-09	0.00027466306	0.0036437083
9.30009999998844e-10	9.099946e-10	-1.1526597e-09	0.00027405008	0.0034942084
9.400099999989161e-10	3.5186456e-09	-4.549973e-11	0.00027351137	0.0033495075
9.50009999999002e-10	6.0666305e-10	-1.0919935e-09	0.0002730013	0.0032093732
9.600099999990877e-10	-3.3366467e-09	-1.8806554e-09	0.0002725361	0.0030774423
9.700099999991735e-10	-9.706609e-10	-2.0626543e-09	0.00027206267	0.0029453442
9.800099999992593e-10	-9.099946e-10	-1.4256581e-09	0.00027154264	0.0028203945
9.90009999999345e-10	-1.0313271e-09	-3.6399783e-10	0.00027111822	0.0027032208
1.0000099999994308e-09	1.3346587e-09	-6.445795e-10	0.0002706268	0.002589284
1.0100099999995166e-09	3.1546479e-09	-1.0313271e-09	0.00027018783	0.0024762508
1.0200099999996024e-09	6.0666305e-10	-8.493283e-10	0.00026981605	0.0023735997
1.0300099999996882e-09	6.0666305e-10	-2.877858e-09	0.0002693948	0.0022703123
1.040009999999774e-09	-3.6399783e-10	-1.5773239e-09	0.00026903395	0.002174307
1.0500099999998598e-09	-2.0019881e-09	-9.706609e-10	0.00026868985	0.0020807802
1.0600099999999456e-09	1.2133261e-09	-7.2799566e-10	0.00026832125	0.0019910492
1.0700000000000313e-09	2.4266522e-09	-1.9413218e-09	0.00026803685	0.0019044317
1.080000000000117e-09	1.5166576e-09	-1.5773239e-09	0.00026771118	0.0018203068
1.0900000000002028e-09	1.8199892e-09	-1.9413218e-09	0.00026743405	0.0017443908
1.1000000000002886e-09	2.8513163e-09	-1.4559913e-09	0.00026714723	0.0016697567
1.1100000000003744e-09	1.395325e-09	-1.4559913e-09	0.0002668388	0.0015954019
1.1200000000004602e-09	1.395325e-09	-4.367974e-09	0.00026659103	0.0015258524
1.130000000000546e-09	1.0919935e-09	-4.7319717e-09	0.00026629012	0.0014588209
1.1400000000006318e-09	2.4873186e-09	-8.493283e-10	0.00026605427	0.0013961872
1.1500000000007175e-09	1.395325e-09	-4.8533044e-10	0.00026585747	0.0013371672
1.1600000000008033e-09	1.5773239e-09	-3.6399783e-10	0.00026563276	0.0012800397
1.1700000000008891e-09	-2.0019881e-09	-3.0333152e-09	0.00026543645	0.0012203816
1.1800000000009749e-09	-2.2446534e-09	-2.5479847e-09	0.00026519378	0.0011660558
